Timestamp,Open,High,Low,Close,Rsi,Cci
5/4/2020 3:00:00 PM,2306.04,2310.71,2299.02,2309.11,43.71,-20.59
5/4/2020 4:00:00 PM,2309.11,2318.00,2307.11,2315.99,45.48,59.98
5/5/2020 10:00:00 AM,2345.00,2351.00,2326.00,2330.00,49.00,182.80
5/5/2020 11:00:00 AM,2330.00,2342.99,2329.00,2340.09,51.43,164.52
5/5/2020 12:00:00 PM,2340.09,2340.55,2329.17,2335.17,50.17,121.73
5/5/2020 1:00:00 PM,2335.17,2337.00,2330.42,2331.00,49.08,96.09
5/5/2020 2:00:00 PM,2331.00,2332.25,2320.59,2328.92,48.51,59.43
5/5/2020 3:00:00 PM,2328.92,2339.15,2326.81,2338.60,51.34,81.16
5/5/2020 4:00:00 PM,2338.60,2339.50,2307.12,2317.64,45.52,12.35
5/6/2020 10:00:00 AM,2329.44,2340.71,2325.25,2331.74,49.65,60.30
5/6/2020 11:00:00 AM,2331.74,2342.10,2320.00,2336.73,51.07,54.63
5/6/2020 12:00:00 PM,2336.73,2340.48,2331.43,2333.54,50.10,60.42
5/6/2020 1:00:00 PM,2333.54,2340.60,2328.71,2337.11,51.21,57.74
5/6/2020 2:00:00 PM,2337.72,2356.42,2336.51,2350.49,55.25,149.62
5/6/2020 3:00:00 PM,2350.49,2352.00,2342.40,2347.99,54.35,160.57
5/6/2020 4:00:00 PM,2347.99,2357.45,2343.98,2350.97,55.29,176.26
5/7/2020 10:00:00 AM,2374.78,2376.00,2356.00,2360.18,58.16,210.56
5/7/2020 11:00:00 AM,2358.76,2361.03,2343.11,2350.54,54.24,87.80
5/7/2020 12:00:00 PM,2350.54,2360.04,2345.70,2355.27,55.81,84.97
5/7/2020 1:00:00 PM,2355.27,2365.39,2355.21,2362.09,58.05,109.26
5/7/2020 2:00:00 PM,2362.09,2362.50,2356.04,2358.83,56.58,86.96
5/7/2020 3:00:00 PM,2358.83,2360.31,2353.64,2358.70,56.51,69.20
5/7/2020 4:00:00 PM,2358.70,2366.69,2350.79,2365.98,59.20,85.88
5/8/2020 10:00:00 AM,2373.78,2373.78,2357.00,2359.45,55.87,93.55
5/8/2020 11:00:00 AM,2359.45,2387.24,2358.83,2383.57,63.95,169.40
5/8/2020 12:00:00 PM,2383.57,2383.84,2373.50,2381.42,62.84,168.87
5/8/2020 1:00:00 PM,2381.42,2382.00,2374.84,2379.86,62.00,144.15
5/8/2020 2:00:00 PM,2379.86,2381.00,2369.24,2372.96,58.31,90.06
5/8/2020 3:00:00 PM,2372.96,2376.25,2367.48,2375.29,59.19,65.96
5/8/2020 4:00:00 PM,2375.29,2379.87,2373.33,2379.50,60.81,84.67
5/11/2020 10:00:00 AM,2374.70,2405.92,2372.11,2405.36,68.96,163.44
